,username,date,content
0,VRadioFM,2021-06-28 04:30:45+00:00,"apakah karyanya tersebut akan dijual. Namun bagi yang ingin melihat sepatu BTS Meal karyanya bisa dilihat di Instagram pribadinya @josiahchua.

#VRadio #VUpdate #McDonald #McDonaldsXBTS #Sneakers #BTSMeal #Fashion"
1,CygnusMusicx,2021-06-27 17:47:40+00:00,"Good Vibes Music Night 2021 ❤️ Best Love Songs Playlist, Stay With Me ~ Cygnus Music

Trends:
#BTS_Butter #BTSARMY #BTSMeal #TAEYONG_swimmingpool #NEDCZE Belanda De Ligt BEM UI

https://t.co/IyY6r8zDEn"
2,newsmerahputih,2021-06-26 16:59:00+00:00,"Kemasan BTS Meal Disulap Jadi Sepatu Nyentrik 

#merahputihcom #btsmeal #bts #sepatu https://t.co/i3Nx9SWfFR"
3,cmyth9,2021-06-26 12:21:46+00:00,"Seadanya, sebisanya 💜 ini ending dari nyuci tutup saos 😂 @McDonalds_ID @McDonalds @BTS_twt #btsmealindonesia #BTSMeal #BTSXMcD https://t.co/JNPaRwt9hU"
4,bisot,2021-06-26 09:54:53+00:00,"Temen gue kreatifnya gada obat dia bikin sendiri BTS MEAL dari kain flanel
 😀👍☕

Cekidot: 
https://t.co/LkTx9i50Xe

#BTS #BTSmeal #flanel #craft https://t.co/sfmcOdWhe3"
5,catsandkatzen,2021-06-26 08:59:57+00:00,Promo @McDonalds_ID usai ditutupnya #BTSMeal justru makin mantap mantap https://t.co/uJKMbUlLSU https://t.co/GEjoZXnDIp
6,vfziame,2021-06-26 08:53:34+00:00,@McDonalds_ID Gak akan berharap itu #BTSMeal  😑
7,minngennn,2021-06-25 17:06:44+00:00,"can't sleep and did something to my #BTSMeal cups, not bad right? 😂 https://t.co/H98eMBkQjk"
8,GangstaGojek,2021-06-25 09:33:27+00:00,"@reddishaine @YoGojekYo Ini kak, #BTSMeal
https://t.co/IL0Wgs6krq"
9,Beritasatu,2021-06-24 14:48:18+00:00,"Daebak! Driver ojol dapatkan donasi dari ARMY hingga sebesar Rp159 juta, berkat rela mengantrekan BTS Meal!

Baca selengkapnya, klik 👇👇👇

#BTSMeal https://t.co/xq4G3X1bG1"
10,detikcom,2021-06-24 11:56:26+00:00,BTS Meal hingga kini masih dijual di seluruh dunia. Keuntungan penjualan di Korea Selatan sebagai negara asal BTS pun terungkap! #BTSMeal  https://t.co/CKnlyVIuN6
11,mymoonbooster,2021-06-24 11:16:56+00:00,"Jumlah #BTSMeal terjual

Di Philippines 1juta
Di Indo 500rb"
12,jodieGP,2021-06-24 04:19:33+00:00,nanya dong #BTSMeal masih ada? @IndonesiaMcd
13,Menjess_1527,2021-06-23 21:37:40+00:00,"pen share aja kalo outlet di sana asik:)) play banyak lagu bts,, trs kacanya di tempel stiker bt21 besar wkw lucuu:'

#BTSMeal #BTS https://t.co/phUUHPVnce"
14,Menjess_1527,2021-06-23 21:05:08+00:00,"Omg the capt🥺🥺🥺
Really hope my country do the same soon🥺😭 Ppppppp @McDonalds_ID 

#BTSMeal https://t.co/c1OY70lr8T https://t.co/iPNd6aZYrd"
15,AdibHidayat,2021-06-23 11:16:16+00:00,"Custom sneakers with a pocket for your nuggets on the go! @josiahchua x @bts_bighit + @McDonalds 
🔥x🌶
—
Shot by @jaydenation 
#bts #btsmeal https://t.co/XhDKPiG3ry"
16,limapagi_,2021-06-23 10:12:07+00:00,Berbeda terjadi di #McDonald’s Jepang. Mereka justru tidak merilis #BTSMeal. McDonald’s Jepang lebih memilih untuk merilis menu #Pikachu yang berisi tiga macam makanan penutup. Pasti penasarankan? Yuk simak di https://t.co/49tcFog7cU https://t.co/9h85pjDfth
17,mymoonbooster,2021-06-22 17:00:32+00:00,"THIS IS AMAZING! 

#BTSMeal #BTSMealsg #BTSMealPH #BTSXMcDonalds @BTS_twt @McDonalds #BTS #btsarmy https://t.co/B9QLkUd7GF"
18,detikcom,2021-06-22 08:23:53+00:00,Singapura baru saja meluncurkan BTS Meal. Tapi para pelanggan justru kecewa karena kantong yang polos tanpa logo BTS. Yah........ #BTSMeal #Singapura https://t.co/nIvD6XbCuV
19,detikcom,2021-06-22 07:20:15+00:00,McD Singapura resmi merilis BTS Meal kemarin (21/6). Pihaknya turut berbagi suka cita dengan memberi ribuan #BTSMeal bagi pekerja bandara Changi. Keren! https://t.co/WAv3q8wwrN
20,PapaAis_,2021-06-21 13:18:07+00:00,"My dream..
Buy #BTSMeal from @McDonalds 
And give as much as I have to street children.. Only for street children"
21,wmraharjo,2021-06-20 06:10:17+00:00,"@asriprahesti @sohilauww Yg reply Anji? 
Padahal gw juga mau kemasan #BTSMeal"
